CLIENTNUM;Churn;Age;Gender;Dependents;EducationLevel;MaritalStatus;YearIncome;Purpose;Card_Category;Months;TotalRelationshipCount;MonthsInactive12;ContactsCount12;CreditLimit;TotalAmtChngQ4Q1;TotalTransAmt;TotalCtChngQ4Q1;AvgUtilizationRatio
708508758;1;62;F;0;СРЕДНЕЕ;женат / замужем;171191.3555;на покупку своего автомобиля;Blue;49;2;3;3;14383;1.047;692;0.6;0
784725333;0;41;M;3;среднее;в разводе;171642.6664;покупка жилья для семьи;Blue;33;4;2;1;44700;1.608;931;1.571;0.152
811604133;0;47;F;4;СРЕДНЕЕ;женат / замужем;96190.33344;получение образования;Blue;36;3;3;2;24920;0.573;1126;0.353;0.626
789124683;0;54;M;2;высшее;женат / замужем;104343.0428;заняться высшим образованием;Blue;42;4;2;3;122170;1.075;1110;0.75;0
771071958;0;41;F;3;СРЕДНЕЕ;женат / замужем;227718.2163;строительство собственной недвижимости;Blue;28;6;1;2;77680;0.797;1051;0.833;0.215
720466383;0;59;M;1;среднее;вдовец / вдова;;дополнительное образование;Blue;46;4;1;2;147840;0.921;1197;1.3;0.093
804424383;0;63;M;1;СРЕДНЕЕ;Не женат / не замужем;451647.8852;покупка жилой недвижимости;Blue;56;3;3;2;102150;0.843;1904;1;0.099
718813833;0;44;F;3;среднее;Не женат / не замужем;128935.2386;операции со своей недвижимостью;Blue;34;5;2;2;101000;0.525;1052;1.571;0
806624208;0;47;M;4;среднее;женат / замужем;74840.80203;недвижимость;Blue;42;6;0;0;47850;0.739;1045;0.9;0.285
778348233;0;53;M;3;среднее;женат / замужем;;профильное образование;Blue;33;3;2;3;27530;0.977;1038;2.571;0.658
712991808;0;53;M;2;неоконченное высшее;гражданский брак;93593.85741;операции с коммерческой недвижимостью;Blue;48;2;5;1;24510;1.323;1596;1.6;0.69
709029408;0;41;M;4;среднее;женат / замужем;;операции с недвижимостью;Blue;36;4;1;2;89230;1.726;1589;1.667;0.282
788658483;0;53;F;2;Среднее;Не женат / не замужем;176547.8794;операции с коммерческой недвижимостью;Blue;38;5;2;3;26500;1.75;1411;1;0.562
787937058;0;58;M;0;высшее;женат / замужем;93684.63055;строительство жилой недвижимости;Blue;49;6;2;2;125550;0.519;1291;0.714;0.135
715318008;0;55;F;1;среднее;женат / замужем;146550.547;на покупку своего автомобиля;Blue;36;4;2;1;35200;0.51;1407;0.483;0.544
713962233;0;55;F;3;среднее;женат / замужем;;сыграть свадьбу;Blue;36;6;2;3;30350;1.724;1877;1.176;0.757
785432733;0;42;F;4;среднее;в разводе;195043.2224;на проведение свадьбы;Gold;36;2;3;3;154330;0.865;966;1.2;0
715190283;0;57;F;1;ВЫСШЕЕ;женат / замужем;68176.96227;дополнительное образование;Blue;49;3;3;2;36720;1.32;1464;0.556;0.241
708300483;1;66;F;0;высшее;женат / замужем;593261.6994;на покупку своего автомобиля;Blue;56;5;4;3;78820;1.052;704;0.143;0.077
827111283;0;45;M;3;среднее;женат / замужем;179138.2123;заняться высшим образованием;Blue;41;2;2;2;324260;1.042;1109;0.474;0.018
758551608;0;51;M;2;среднее;Не женат / не замужем;75822.3673;получение высшего образования;Blue;44;4;1;0;62050;0.803;1347;0.556;0.355
773146383;0;50;F;1;среднее;Не женат / не замужем;161138.225;недвижимость;Silver;43;3;2;3;173040;1.449;1756;1.2;0.145
778493808;0;49;M;3;среднее;гражданский брак;195411.5633;свадьба;Blue;37;5;2;1;39060;1.214;1756;1;0
720572508;0;38;F;4;среднее;женат / замужем;97352.94756;на покупку своего автомобиля;Blue;28;2;3;3;98300;0.977;1042;0.917;0.209
712661433;0;49;M;4;среднее;женат / замужем;181337.4512;покупка своего жилья;Blue;30;3;2;3;345160;1.621;1444;1.333;0
789172683;0;56;M;2;Высшее;в разводе;168429.6537;строительство недвижимости;Blue;45;6;2;0;22830;2.316;1741;0.588;0.626
738406533;0;59;M;1;среднее;Не женат / не замужем;49097.12526;покупка жилья для сдачи;Blue;52;3;2;2;25480;2.357;1719;1.7;0.793
799723908;0;46;M;3;среднее;в разводе;133122.653;получение образования;Blue;40;4;3;3;194580;0.787;1217;0.8;0.074
771490833;0;52;M;1;среднее;женат / замужем;99583.10219;на покупку подержанного автомобиля;Blue;40;5;1;1;47450;0.624;1140;0.6;0.259
720756708;0;52;F;3;среднее;женат / замужем;168242.4533;покупка жилья;Blue;41;6;3;2;26220;1.321;1878;1.143;0.591
779471883;1;54;F;1;среднее;гражданский брак;146009.1602;получение образования;Blue;40;2;3;1;14383;0.997;705;0.9;0.562
711525033;0;66;F;0;среднее;женат / замужем;;жилье;Blue;54;3;4;2;31710;1.224;1946;1.923;0.687
712813458;0;49;M;2;среднее;гражданский брак;157310.4985;приобретение автомобиля;Blue;36;4;2;0;197630;0.664;1414;0.25;0.127
714374133;1;56;M;2;высшее;женат / замужем;322160.7218;автомобиль;Blue;36;1;3;3;157690;1.041;602;0.364;0
717891558;0;49;F;4;среднее;женат / замужем;119771.1429;покупка недвижимости;Blue;36;6;4;2;32980;0.678;1052;0.6;0.667
716632758;0;49;F;3;среднее;женат / замужем;105649.4111;свадьба;Blue;36;2;2;0;28020;0.75;1295;0.6;0.843
768563658;0;56;M;2;СРЕДНЕЕ;гражданский брак;157709.9047;покупка жилья для семьи;Blue;50;4;2;3;44580;1.107;1424;1.417;0.422
711427458;0;44;F;5;среднее;женат / замужем;126829.3748;покупка жилой недвижимости;Blue;35;4;1;2;62730;2.275;1359;1.083;0.156
714091983;0;42;M;2;среднее;гражданский брак;42660.17843;покупка жилья для семьи;Blue;34;4;4;3;33360;0.69;1168;1.25;0.525
787584108;0;55;M;3;среднее;женат / замужем;113137.156;получение высшего образования;Blue;47;4;2;3;34360;0.901;1097;0.833;0.587
712030833;1;48;M;2;среднее;женат / замужем;99631.03288;покупка недвижимости;Silver;35;2;4;4;345160;0.763;691;0.5;0
711481533;0;39;M;1;среднее;гражданский брак;235437.4092;покупка недвижимости;Blue;33;5;3;3;59260;0.944;1316;1.154;0.211
710082708;0;44;M;4;среднее;гражданский брак;507552.582;строительство жилой недвижимости;Blue;32;2;4;2;239570;0.997;1276;0.733;0.088
708155733;0;53;M;2;среднее;гражданский брак;;операции со своей недвижимостью;Blue;44;4;2;2;147340;0.989;1289;0.917;0.111
788979258;0;51;M;4;среднее;женат / замужем;;покупка жилой недвижимости;Silver;38;4;1;4;345160;0.592;1293;0.6;0.044
807986133;0;57;M;2;среднее;женат / замужем;195251.0146;операции с коммерческой недвижимостью;Blue;52;5;3;3;65840;0.62;1353;0.667;0.276
788730933;0;44;F;2;среднее;гражданский брак;173850.8282;покупка жилья для семьи;Blue;20;6;3;3;20840;1.004;1132;0.556;0.704
711314058;0;49;M;2;среднее;женат / замужем;85640.20034;недвижимость;Blue;32;2;2;2;16870;1.715;1670;2.4;0.656
717975333;0;50;M;2;среднее;женат / замужем;305514.3223;профильное образование;Blue;38;6;2;2;253000;1.072;837;2;0.053
715971108;0;51;M;4;среднее;женат / замужем;225851.182;сделка с автомобилем;Blue;42;3;2;3;345160;1.266;1550;1.05;0.051
720096558;0;55;F;2;среднее;гражданский брак;;получение образования;Blue;42;5;3;3;22160;0.758;1540;0.286;0.467
719580033;0;54;M;1;среднее;женат / замужем;112114.7481;сыграть свадьбу;Blue;43;4;2;3;29100;0.769;1256;0.4;0.698
820582308;0;42;M;5;Высшее;гражданский брак;109634.3354;на проведение свадьбы;Blue;37;6;2;2;229130;0.414;1394;0.522;0.067
789973308;0;44;M;1;высшее;женат / замужем;265693.3438;высшее образование;Blue;35;3;3;3;243120;1.312;1341;1.182;0.079
712876233;0;53;M;2;среднее;женат / замужем;290139.3376;автомобиль;Blue;36;5;3;2;52720;0.857;1289;0.435;0.287
804595158;0;44;F;4;Высшее;гражданский брак;71263.23117;покупка своего жилья;Blue;36;6;4;2;70000;0.475;1112;1.875;0.36
714826758;0;37;F;3;высшее;гражданский брак;169092.1137;строительство собственной недвижимости;Blue;29;4;4;2;70380;0.751;2339;0.966;0.256
779058108;0;49;M;3;Среднее;женат / замужем;161483.0607;покупка жилья для семьи;Blue;30;6;1;2;25360;0.703;1468;0.353;0.719
710790258;0;47;M;2;среднее;Не женат / не замужем;323018.1453;строительство собственной недвижимости;Blue;38;6;3;2;289040;0.85;1334;0.4;0.066
715623483;0;47;M;3;среднее;женат / замужем;50851.61286;покупка недвижимости;Blue;37;4;4;0;85670;1.242;1457;1.412;0.198
715156383;0;44;M;1;среднее;женат / замужем;60973.20488;покупка коммерческой недвижимости;Blue;36;6;2;2;345160;0.924;1603;0.526;0.044
711013983;1;55;F;4;СРЕДНЕЕ;женат / замужем;169966.105;образование;Blue;45;2;4;3;21580;0.585;615;0.714;0
755420433;0;59;F;1;высшее;гражданский брак;127928.0883;автомобиль;Blue;52;2;3;3;101330;0.383;1068;0.818;0.14
794543958;0;53;M;1;высшее;Не женат / не замужем;90811.93488;операции с коммерческой недвижимостью;Blue;35;5;4;2;345160;1.129;1590;2;0.035
716396358;0;52;M;2;среднее;женат / замужем;83807.37951;сделка с автомобилем;Blue;47;5;3;0;30850;0.921;1531;0.667;0.619
715398033;0;53;M;2;среднее;гражданский брак;121909.4909;операции с недвижимостью;Blue;35;4;2;1;190400;0.607;1212;0.722;0.108
711743883;0;43;F;3;начальное;женат / замужем;113124.2028;строительство недвижимости;Blue;35;5;2;3;40260;0.483;1237;0.6;0
719720058;0;44;M;3;неоконченное высшее;женат / замужем;196932.0773;операции с жильем;Blue;31;4;3;1;127560;1.932;1413;1.8;0.066
778992108;0;57;M;2;среднее;Не женат / не замужем;91789.00503;строительство собственной недвижимости;Blue;45;5;3;3;52660;1.702;1516;1.636;0
717539808;0;51;F;2;среднее;женат / замужем;83009.49279;покупка коммерческой недвижимости;Blue;36;3;2;2;99300;0.731;1276;1.333;0
714070758;0;49;M;4;высшее;Не женат / не замужем;98201.62531;заняться образованием;Blue;38;4;3;0;313020;0.875;1564;2.182;0.062
714107958;0;45;M;1;высшее;женат / замужем;117522.6996;операции с коммерческой недвижимостью;Blue;36;4;4;3;65760;0.579;1465;0.619;0
789140283;0;53;M;0;среднее;женат / замужем;143964.3051;сделка с подержанным автомобилем;Blue;42;5;4;1;26640;0.85;1286;0.933;0.765
715550508;0;45;F;3;высшее;женат / замужем;125237.7997;недвижимость;Blue;28;5;1;2;25350;1.705;1312;1.222;0.963
719712633;0;64;M;1;среднее;женат / замужем;163074.9312;на покупку своего автомобиля;Blue;52;6;4;3;17090;1.656;1673;0.882;0.524
772629333;0;45;M;3;среднее;в разводе;114021.4137;покупка жилой недвижимости;Blue;35;5;4;2;34540;0.597;1313;0.304;0.347
720336708;0;53;M;3;Среднее;женат / замужем;105691.1864;покупка жилья для сдачи;Blue;35;5;3;2;37890;1.047;1609;0.68;0.45
802013583;0;56;M;3;высшее;женат / замужем;149806.8846;свадьба;Blue;50;3;2;0;96890;0.576;1158;0.727;0.232
711887583;1;47;M;2;высшее;женат / замужем;100495.3341;покупка жилья для сдачи;Blue;37;2;3;3;54490;0.696;836;0.385;0.299
714778833;0;49;F;3;среднее;женат / замужем;154380.546;строительство собственной недвижимости;Blue;43;4;4;0;230320;0.619;1289;1;0.085
713843283;0;41;F;3;высшее;Не женат / не замужем;57871.46736;приобретение автомобиля;Silver;34;5;3;3;345160;1.034;1487;0.733;0.059
779155158;0;53;M;3;среднее;Не женат / не замужем;75211.21498;на покупку подержанного автомобиля;Blue;34;6;2;2;29400;0.562;1259;0.5;0.43
721091583;0;44;F;2;среднее;женат / замужем;190724.4635;строительство жилой недвижимости;Blue;32;3;3;3;30310;0.788;1298;1.5;0.62
713572683;0;44;M;3;среднее;в разводе;108130.9332;покупка жилья для сдачи;Blue;25;3;3;0;18620;0.883;1226;0.789;0
716657058;0;43;F;4;среднее;Не женат / не замужем;137891.9113;покупка жилья для сдачи;Blue;33;2;3;3;83580;0.762;1566;0.542;0.111
779509983;0;53;M;2;среднее;Не женат / не замужем;134389.3165;дополнительное образование;Blue;36;6;1;2;345160;0.828;1022;1.1;0.027
717929133;0;44;M;1;среднее;женат / замужем;230272.9228;на проведение свадьбы;Blue;36;5;2;3;144500;1.283;1235;0.667;0.169
808284783;0;62;F;1;среднее;в разводе;155001.5307;свадьба;Blue;56;6;0;0;14383;0.813;1951;1.095;0
708476808;0;54;M;4;среднее;вдовец / вдова;149542.0619;на покупку автомобиля;Blue;36;6;3;2;337910;0.618;1047;0.824;0.058
710916408;0;57;M;4;среднее;женат / замужем;108405.3297;заняться образованием;Blue;39;4;3;0;84660;0.56;1342;0.391;0.223
708492558;0;42;M;3;среднее;женат / замужем;100177.8575;сыграть свадьбу;Blue;36;5;3;3;150880;0.939;1107;1.625;0.057
799825758;0;42;M;4;среднее;женат / замужем;84089.98496;операции с недвижимостью;Blue;36;5;1;2;32630;0.588;1251;0.346;0.513
718619883;0;54;F;0;высшее;женат / замужем;298448.9195;приобретение автомобиля;Blue;36;2;2;2;14940;1.674;1305;3;0.473
711844758;0;48;M;3;высшее;женат / замужем;;операции со своей недвижимостью;Blue;35;6;1;0;135510;0.791;1388;1.056;0.095
714798783;0;49;M;1;начальное;гражданский брак;;операции с недвижимостью;Blue;36;6;2;2;188860;1.826;1235;1.571;0.047
826762908;0;52;M;3;среднее;женат / замужем;72491.9321;на покупку своего автомобиля;Blue;48;3;2;0;119760;1.024;2089;1.118;0.106
771894558;0;50;M;3;среднее;женат / замужем;;сыграть свадьбу;Blue;39;4;1;4;99640;1.873;1626;0.786;0.156
721074183;0;49;M;1;высшее;женат / замужем;151072.7317;на проведение свадьбы;Blue;36;4;6;3;241590;0.712;1111;1;0.05
715259583;0;53;F;2;среднее;женат / замужем;141047.9565;на покупку своего автомобиля;Blue;44;3;2;3;53620;0.816;1553;1;0.355
718414008;0;50;M;2;высшее;гражданский брак;117481.1982;высшее образование;Blue;36;3;2;2;345160;1.004;1064;0.625;0.03
719666283;0;55;F;1;высшее;в разводе;390025.4997;дополнительное образование;Blue;36;4;1;0;31740;0.766;1243;0.611;0.615
714877233;0;53;M;1;среднее;вдовец / вдова;141991.4395;покупка жилья для сдачи;Blue;47;3;2;2;122620;1.584;1659;1.533;0.15
785387883;0;47;F;3;среднее;женат / замужем;103143.3027;строительство недвижимости;Blue;41;4;3;3;37880;0.566;1594;0.382;0.407
771075258;0;55;M;2;среднее;женат / замужем;199233.0968;операции с недвижимостью;Silver;42;2;3;2;345160;0.526;1268;0.355;0.044
711318033;0;47;M;3;среднее;Не женат / не замужем;191244.9385;операции со своей недвижимостью;Blue;36;4;2;2;29260;0.676;1304;0.846;0
783554958;0;58;M;4;высшее;женат / замужем;181566.4317;свадьба;Blue;52;6;1;0;320900;0.567;1368;0.364;0
720201033;1;53;M;2;высшее;вдовец / вдова;84384.81746;покупка недвижимости;Blue;41;3;3;2;116690;0.622;720;0.353;0.191
718039683;0;52;M;2;среднее;женат / замужем;150338.1267;покупка жилья для сдачи;Blue;45;3;1;2;135320;0.846;1521;1.417;0.096
710806083;0;50;F;1;среднее;Не женат / не замужем;70124.09328;покупка жилой недвижимости;Silver;36;4;2;2;118880;0.7;1137;0.765;0.176
714752208;0;42;F;1;среднее;женат / замужем;115158.9749;операции с недвижимостью;Blue;36;5;1;2;23930;0.788;978;0.778;0.83
822063408;0;43;M;4;среднее;гражданский брак;123839.2996;на покупку подержанного автомобиля;Blue;39;5;1;2;61110;0.632;1221;2.2;0.412
714490308;0;57;M;4;среднее;Не женат / не замужем;121128.7294;получение дополнительного образования;Blue;46;3;2;3;192700;1.186;1565;1.545;0.086
713356833;0;52;M;1;среднее;женат / замужем;111621.1106;покупка жилья;Blue;43;3;1;4;37100;1.541;1578;0.7;0.678
711402333;0;47;M;2;высшее;женат / замужем;168997.0992;покупка своего жилья;Blue;37;2;1;3;32350;0.541;1493;1;0.246
708296883;0;44;F;3;среднее;женат / замужем;55370.02057;покупка коммерческой недвижимости;Blue;38;3;1;0;117490;0.688;1178;0.929;0.067
719154483;0;53;M;2;высшее;женат / замужем;229342.6012;сделка с подержанным автомобилем;Blue;36;5;3;2;77530;0.839;991;0.733;0.271
717721458;0;45;M;4;неоконченное высшее;женат / замужем;249089.3584;жилье;Blue;40;5;1;0;104080;1.689;2560;1.211;0.114
711112683;0;63;F;1;среднее;женат / замужем;74734.79516;автомобиль;Blue;36;6;2;3;39670;1.236;1657;1.231;0.395
715674483;0;39;F;2;высшее;женат / замужем;115882.3861;свадьба;Blue;27;4;2;2;62050;0.939;1204;0.727;0.406
789322833;1;48;F;5;высшее;женат / замужем;80718.48274;получение образования;Blue;38;1;3;3;80250;0.654;673;0.8;0
789968058;0;51;M;1;среднее;женат / замужем;;сделка с автомобилем;Blue;42;6;2;3;90360;0.649;1131;0.636;0.258
709919283;0;54;M;4;среднее;Не женат / не замужем;126582.4922;сыграть свадьбу;Blue;34;2;3;2;149260;1.996;1576;1.5;0.169
718744008;0;59;F;1;среднее;гражданский брак;102816.3464;ремонт жилью;Blue;36;3;2;3;63350;0.397;1217;0.667;0.178
767712558;1;59;M;1;Среднее;женат / замужем;114301.1483;покупка жилья для семьи;Blue;53;2;3;3;149790;0.71;530;1;0
712950783;1;48;F;4;среднее;гражданский брак;98195.77594;на покупку автомобиля;Blue;38;3;2;3;27320;0.76;739;0.455;0
716104983;0;41;F;2;среднее;вдовец / вдова;133024.4093;операции с коммерческой недвижимостью;Blue;32;6;3;2;22500;1.162;1617;2.875;0.941
818839983;0;55;M;2;среднее;гражданский брак;112655.5941;на покупку автомобиля;Blue;50;3;2;0;109160;1.317;1592;1;0.141
772288758;0;47;F;4;среднее;женат / замужем;76648.64715;высшее образование;Blue;36;4;1;3;53490;0.728;1343;1.308;0.23
712350858;0;41;M;2;высшее;женат / замужем;53875.40789;покупка коммерческой недвижимости;Blue;24;4;1;3;93660;0.572;1303;0.625;0.118
711009708;0;40;M;3;СРЕДНЕЕ;женат / замужем;155996.4262;жилье;Blue;28;5;1;0;216170;1.047;1351;0.467;0
712720158;0;68;M;1;высшее;женат / замужем;221794.6866;заняться высшим образованием;Blue;56;5;2;3;138600;1.255;1910;1.909;0.119
712215258;0;50;F;1;среднее;женат / замужем;51242.11684;ремонт жилью;Silver;31;2;2;3;183860;0.868;1298;0.571;0
773827008;0;47;M;4;среднее;женат / замужем;227171.3982;операции со своей недвижимостью;Blue;41;6;2;2;24050;0.469;1087;1.231;0.64
795232683;0;53;F;1;среднее;женат / замужем;143751.0446;покупка своего жилья;Blue;47;4;2;3;21540;2.121;1439;1.364;0.432
713786508;0;42;F;5;высшее;женат / замужем;;образование;Blue;36;3;3;3;20380;0.786;1238;0.75;0
713539833;0;48;F;4;высшее;гражданский брак;;операции со своей недвижимостью;Blue;38;6;1;3;81350;1.373;1716;0.812;0
712454058;0;49;M;1;СРЕДНЕЕ;женат / замужем;97736.37747;автомобиль;Blue;38;6;1;3;93640;0.554;1099;0.8;0.066
718759833;0;44;F;2;СРЕДНЕЕ;женат / замужем;130878.9456;на покупку подержанного автомобиля;Silver;35;4;3;2;326430;1.3;1058;2.429;0
718803333;0;43;F;4;среднее;Не женат / не замужем;90959.03702;покупка жилой недвижимости;Blue;34;2;3;1;31950;0.971;1285;0.706;0.612
720253908;0;56;M;0;высшее;женат / замужем;553624.2305;сделка с автомобилем;Blue;43;5;2;1;28520;1.009;1651;1;0.359
714133158;0;59;F;1;неоконченное высшее;женат / замужем;81800.80022;операции со своей недвижимостью;Blue;36;2;3;3;42240;0.852;1152;0.824;0.309
713187033;0;46;M;1;среднее;женат / замужем;189882.7826;операции с недвижимостью;Blue;36;3;2;2;204590;1.248;1767;2.167;0.101
714791208;0;47;F;4;среднее;в разводе;229378.5655;профильное образование;Blue;41;6;5;3;34820;0.508;1039;0.263;0.607
772426383;0;50;F;4;высшее;женат / замужем;131608.4688;ремонт жилью;Blue;40;5;2;3;30650;1.077;1130;1.333;0.512
710975883;0;51;F;3;среднее;женат / замужем;189750.2208;покупка жилой недвижимости;Blue;43;3;1;2;21850;0.682;1645;0.429;0.806
714264408;0;47;F;3;среднее;женат / замужем;758821.8084;покупка жилья для сдачи;Blue;36;4;1;0;16110;0.993;1413;0.706;0.463
715827858;0;58;F;4;среднее;женат / замужем;131446.7199;покупка жилья для семьи;Blue;47;3;3;3;28220;1.456;1218;2.286;0.77
713741358;1;46;M;5;среднее;женат / замужем;188381.7632;на проведение свадьбы;Blue;33;6;3;3;329750;0.658;597;0.7;0.076
709531908;0;53;M;3;среднее;Не женат / не замужем;72448.50818;свой автомобиль;Blue;47;5;2;2;14383;0.776;2184;0.828;0
716493408;0;45;F;4;среднее;женат / замужем;72652.70479;покупка жилья для семьи;Blue;36;4;3;3;158750;0.86;1592;1.467;0.108
714141108;0;52;F;1;среднее;гражданский брак;106956.8003;операции с коммерческой недвижимостью;Blue;45;6;3;3;67030;0.567;1388;0.75;0.133
708953883;1;53;M;2;высшее;женат / замужем;84524.79367;на покупку подержанного автомобиля;Blue;36;2;2;1;32120;0.713;757;0.25;0
712608783;0;50;M;2;высшее;Не женат / не замужем;229419.134;покупка коммерческой недвижимости;Silver;45;3;1;3;345160;0.588;1504;0.789;0.037
820353558;0;41;F;3;среднее;в разводе;83750.08936;получение образования;Blue;36;4;1;2;97970;0.644;1503;0.478;0.146
714964758;0;45;F;5;среднее;женат / замужем;252788.9904;покупка жилья для сдачи;Blue;36;5;2;2;104000;0.791;1105;0.867;0.171
716264358;0;53;M;3;среднее;женат / замужем;58726.46327;на проведение свадьбы;Blue;42;2;1;2;267920;1.432;2398;0.88;0.069
717296808;0;67;F;1;среднее;гражданский брак;178678.1598;приобретение автомобиля;Blue;56;4;3;2;30060;2.053;1661;1;0.837
712977183;0;57;F;2;Высшее;женат / замужем;192402.4195;строительство собственной недвижимости;Silver;36;6;3;0;194820;0.706;1421;1.444;0.055
710829108;0;59;F;1;среднее;гражданский брак;141155.9365;операции с жильем;Blue;36;4;2;3;33560;0.35;999;0.556;0.294
779562633;0;45;M;2;среднее;женат / замужем;152563.8205;свадьба;Blue;34;3;2;1;57710;1.791;1387;0.8;0.39
715315833;0;51;M;3;среднее;вдовец / вдова;97629.40384;свадьба;Blue;36;6;2;3;111060;0.948;1243;1;0.19
815500983;0;59;F;1;высшее;женат / замужем;114394.6144;свадьба;Blue;54;5;3;0;28900;1.334;1860;1;0.692
719360583;0;53;M;1;среднее;в разводе;133722.8386;свой автомобиль;Blue;45;6;2;2;33800;0.747;1502;1.273;0.503
709701558;0;47;M;3;среднее;Не женат / не замужем;;заняться образованием;Blue;36;2;1;2;213310;0.949;1460;1.083;0.059
721148358;0;49;F;3;среднее;женат / замужем;372564.432;заняться образованием;Blue;38;6;2;1;128600;0.646;1348;0.286;0
779862408;0;49;M;3;среднее;в разводе;388633.8619;сделка с автомобилем;Blue;33;3;1;0;62780;1.161;1087;0.941;0.074
812627208;0;60;F;0;среднее;в разводе;144546.428;на проведение свадьбы;Blue;55;5;1;3;14383;0.782;1226;0.571;0.513
711033408;0;50;F;2;высшее;женат / замужем;150691.4921;образование;Blue;36;5;1;2;93550;0.701;1230;0.867;0.174
779956608;0;41;F;2;среднее;женат / замужем;80812.90834;автомобили;Blue;31;6;1;3;207580;0.688;1555;0.684;0
780376683;0;57;M;1;среднее;женат / замужем;75866.6466;покупка жилья;Blue;47;5;3;1;146120;1.768;1827;3;0.135
717912483;0;43;M;4;среднее;женат / замужем;144533.9763;профильное образование;Blue;27;5;2;0;272590;0.731;1376;0.591;0
714454758;0;57;F;3;среднее;женат / замужем;;свой автомобиль;Blue;47;4;2;3;63470;0.896;1771;0.762;0.251
780466533;0;54;M;3;среднее;женат / замужем;113542.6694;жилье;Blue;41;3;3;0;215920;1.097;1873;0.529;0.078
715735233;0;51;F;5;СРЕДНЕЕ;вдовец / вдова;68021.68406;на проведение свадьбы;Blue;44;5;1;1;34490;0.971;1679;0.556;0.463
720476733;0;47;F;3;среднее;женат / замужем;93440.48954;приобретение автомобиля;Blue;34;2;1;2;60280;0.819;1002;0.571;0.133
715872333;0;41;M;0;среднее;женат / замужем;158746.7529;свадьба;Blue;36;3;2;3;182140;0.829;1344;1.1;0.11
712375758;0;53;M;3;высшее;Не женат / не замужем;223327.8026;покупка жилья;Blue;43;3;3;1;163930;1.642;1461;0.75;0.087
708868233;1;68;M;0;среднее;гражданский брак;253579.4298;заняться высшим образованием;Blue;52;1;3;2;14383;0.743;760;0.615;0.626
718030083;0;59;M;1;среднее;Не женат / не замужем;177790.0139;покупка жилья для семьи;Blue;36;4;1;2;78710;1.242;1428;1.444;0.214
